ID,Livestock_Type,Disease,Symptom_1,Cure_1,Symptom_2,Cure_2,Symptom_3,Cure_3,Symptom_4,Cure_4,Symptom_5,Cure_5,Symptom_6,Cure_6
585,Cattle,Peste des Petits Ruminants,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
586,Camel,Avian Influenza,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
587,Alpaca,Anthrax,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
588,Goat,Anthrax,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
589,Deer,Brucellosis,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
590,Alpaca,Newcastle Disease,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
591,Mule,Botulism,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
592,Sheep,Rinderpest,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
593,Yak,Peste des Petits Ruminants,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
594,Duck,Mastitis,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
595,Yak,Glanders,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
596,Emu,Johne’s Disease,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
597,Chicken,Botulism,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
598,Alpaca,Mastitis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
599,Alpaca,Leptospirosis,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
600,Mule,Brucellosis,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
601,Reindeer,Bovine Viral Diarrhea,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
602,Donkey,Johne’s Disease,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
603,Mule,Rinderpest,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
604,Pigeon,Brucellosis,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
605,Guinea Fowl,Bovine Viral Diarrhea,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
606,Ostrich,Newcastle Disease,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
607,Alpaca,Bovine Viral Diarrhea,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
608,Camel,Newcastle Disease,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
609,Mule,Scrapie,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
610,Yak,Foot-and-Mouth Disease,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
611,Sheep,Peste des Petits Ruminants,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
612,Reindeer,Anthrax,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
613,Quail,Swine Fever,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
614,Horse,Rinderpest,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
615,Pig,Rinderpest,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
616,Alpaca,Brucellosis,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
617,Alpaca,Bovine Viral Diarrhea,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
618,Guinea Fowl,Newcastle Disease,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
619,Chicken,Peste des Petits Ruminants,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
620,Pigeon,Swine Fever,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
621,Deer,Newcastle Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
622,Duck,Blue Tongue,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
623,Pig,Peste des Petits Ruminants,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
624,Rabbit,Bovine Viral Diarrhea,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
625,Donkey,Glanders,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
626,Chicken,Bovine Viral Diarrhea,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
627,Alpaca,Johne’s Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
628,Mule,Avian Influenza,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
629,Sheep,Anthrax,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
630,Yak,Peste des Petits Ruminants,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
631,Turkey,Anthrax,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
632,Deer,Blue Tongue,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
633,Alpaca,Anthrax,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
634,Yak,Leptospirosis,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
635,Rabbit,Mastitis,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
636,Rabbit,Bovine Viral Diarrhea,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
637,Chicken,Blue Tongue,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
638,Goat,Rinderpest,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
639,Alpaca,Bovine Tuberculosis,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
640,Sheep,Johne’s Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
641,Sheep,Botulism,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
642,Llama,Blue Tongue,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
643,Buffalo,Rinderpest,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
644,Emu,Bovine Tuberculosis,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
645,Turkey,Peste des Petits Ruminants,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
646,Rabbit,Brucellosis,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
647,Rabbit,Leptospirosis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
648,Horse,Swine Fever,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
649,Turkey,Glanders,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
650,Horse,Botulism,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
651,Horse,Mastitis,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
652,Yak,Newcastle Disease,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
653,Guinea Fowl,Mastitis,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
654,Alpaca,Botulism,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
655,Goose,Brucellosis,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
656,Donkey,Avian Influenza,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
657,Cattle,Blue Tongue,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
658,Cattle,Rinderpest,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
659,Pigeon,Glanders,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
660,Goat,Leptospirosis,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
661,Chicken,Glanders,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
662,Chicken,Avian Influenza,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
663,Guinea Fowl,Leptospirosis,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
664,Ostrich,Scrapie,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
665,Rabbit,Johne’s Disease,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
666,Goat,Swine Fever,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
667,Pig,Bovine Viral Diarrhea,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
668,Chicken,Leptospirosis,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
669,Turkey,Brucellosis,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
670,Cattle,Leptospirosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
671,Bison,Johne’s Disease,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
672,Ostrich,Peste des Petits Ruminants,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
673,Mule,Botulism,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
674,Llama,Johne’s Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
675,Emu,Swine Fever,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
676,Goose,Scrapie,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
677,Turkey,Rinderpest,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
678,Deer,Blue Tongue,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
679,Emu,Rinderpest,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
680,Ostrich,Avian Influenza,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
681,Cattle,Glanders,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
682,Buffalo,Mastitis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
683,Goat,Newcastle Disease,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
684,Turkey,Bovine Viral Diarrhea,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
685,Pigeon,Johne’s Disease,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
686,Alpaca,Glanders,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
687,Pig,Rinderpest,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
688,Deer,Mastitis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
689,Bison,Scrapie,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
690,Pigeon,Foot-and-Mouth Disease,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
691,Guinea Fowl,Peste des Petits Ruminants,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
692,Llama,Johne’s Disease,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
693,Rabbit,Swine Fever,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
694,Pig,Rinderpest,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
695,Pigeon,Blue Tongue,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
696,Duck,Leptospirosis,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
697,Pig,Botulism,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
698,Reindeer,Glanders,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
699,Turkey,Blue Tongue,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
700,Camel,Blue Tongue,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
701,Emu,Scrapie,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
702,Goose,Bovine Tuberculosis,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
703,Sheep,Newcastle Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
704,Chicken,Anthrax,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
705,Buffalo,Peste des Petits Ruminants,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
706,Pigeon,Bovine Viral Diarrhea,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
707,Chicken,Glanders,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
708,Emu,Johne’s Disease,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
709,Alpaca,Foot-and-Mouth Disease,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
710,Turkey,Johne’s Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
711,Duck,Foot-and-Mouth Disease,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
712,Horse,Blue Tongue,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
713,Yak,Botulism,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
714,Chicken,Blue Tongue,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
715,Deer,Leptospirosis,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
716,Emu,Newcastle Disease,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
